side,event,frame,time_s
left,heel_strike,6,0.24
left,heel_strike,37,1.48
left,heel_strike,66,2.64
left,heel_strike,98,3.92
left,heel_strike,130,5.2
left,heel_strike,161,6.44
left,heel_strike,193,7.72
left,heel_strike,225,9.0
left,toe_off,17,0.68
left,toe_off,48,1.92
left,toe_off,78,3.12
left,toe_off,110,4.4
left,toe_off,141,5.64
left,toe_off,173,6.92
left,toe_off,204,8.16
left,toe_off,235,9.4
right,heel_strike,21,0.84
right,heel_strike,52,2.08
right,heel_strike,82,3.28
right,heel_strike,114,4.56
right,heel_strike,146,5.84
right,heel_strike,177,7.08
right,heel_strike,208,8.32
right,heel_strike,239,9.56
right,toe_off,32,1.28
right,toe_off,62,2.48
right,toe_off,93,3.72
right,toe_off,125,5.0
right,toe_off,156,6.24
right,toe_off,188,7.52
right,toe_off,219,8.76
